Video Game Name,Year Released,Publisher,Platform,Retail Price (std edition),On Game Pass,Genre,Time To Beat (hrs),Month started,Our playtime,Did we finish (Y/N/NA),Metacritic score,Subjective rating,Who played
Big Brain Academy: Brain vs. Brain,2021,Nintendo,NS,$30,N,Puzzle,1,Dec,,Y,73,8,Both
It Takes Two,2021,Electronic Arts,PS5,$40,Y,Platformer,12,Mar,,Y,88,9,Both
The Forgotten City,2021,Plug In Digital,XS,$30,Y,Adventure,9.5,Nov,,Y,86,9,Rebecca
Death’s Door,2021,Devolver Digital,XS,$20,N,Action,8.5,Jul,,Y,87,9,Both
NieR Replicant ver.1.22474487139...,2021,Square Enix,PS4,$60,N,RPG,19.5,Apr,,Y,83,9,Erika
Luck be a Landlord (Early Access),2021,TrampolineTales,PC,$10,N,Rogue-like,13,Feb,,Y,NA,8.5,Erika
The Artful Escape,2021,Annapurna,XS,$20,Y,Platformer,4.5,Oct,,Y,81,8.3,Rebecca
Little Nightmares II,2021,Bandai Namco,PS4,$30,N,Platformer,5.5,Feb,,Y,82,7.8,Erika
Bowser’s Fury,2021,Nintendo,NS,$60,N,Platformer,6,Feb,,Y,89,8,Erika
Life is Strange: True Colors,2021,Square Enix,PS5,$60,N,Adventure,13,Sep,,Y,77,8,Rebecca
Adios,2021,Mischief,XS,$20,N,Adventure,1.5,Feb,,Y,78,8,Erika
Lake,2021,Whitethorn Digital,XS,$20,Y,Adventure,8,Sep,,Y,72,8,Both
WarioWare: Get It Together!,2021,Nintendo,NS,$50,N,Puzzle,2.5,Sep,,Y,76,7.8,Both
Kid A Mnesia Exhibition,2021,Epic,PS5,$0,N,Experimental,1,Nov,,Y,NA,8.5,Erika
Halo Infinite,2021,Xbox Game Studios,XS,$60,Y,FPS,17.5,Dec,,Y,87,8,Erika
Marvel's Guardians of the Galaxy,2021,Square Enix,PS5,$60,N,Adventure,17,Dec,,Y,80,8,Erika
Ratchet and Clank: Rift Apart,2021,Sony,PS5,$70,N,Platformer,11,Jul,,Y,88,7.5,Erika
Forza Horizon 5,2021,Xbox Game Studios,XS,$60,Y,Racing,19.5,Nov,,N,92,8,Erika
Metroid Dread,2021,Nintendo,NS,$60,N,Platformer,8.5,Oct,,Y,88,7,Erika
Last Stop,2021,Annapurna,XS,$25,Y,Adventure,6,Jul,,Y,69,7.3,Both
Kaze and the Wild Masks,2021,Soedesco,PS4,$30,N,Platformer,8.5,Jul,,N,77,8,Erika
Boomerang X,2021,Devolver Digital,NS,$20,N,FPS,2,Jul,,Y,80,7.5,Erika
Hitman 3,2021,IO Interactive,PS5,$60,N,Stealth,8,Jan,,Y,84,8,Erika
Unpacking,2021,Humble Games,XS,$20,Y,Puzzle,3.5,Nov,,Y,81,7,Rebecca
Happy Game,2021,Amanita Design,NS,$13,N,Puzzle,2,Nov,,Y,NA,7,Erika
Psychonauts 2,2021,Xbox Game Studios,XS,$60,Y,Platformer,14.5,Aug,,N,87,7,Erika
Kena: Bridge of Spirits,2021,Emberlab,PS5,$40,N,Platformer,10,Sep,,Y,80,7,Erika
Deathloop,2021,Xbox Game Studios,PS5,$60,N,FPS,15,Sep,,Y,88,6.5,Erika
Resident Evil Village,2021,Capcom,PS5,$60,N,Horror,9.5,May,,Y,84,7.5,Erika
Pac-Man 99,2021,Bandai Namco,NS,$0,N,Battle Royale,3,Apr,,Y,76,6,Erika
Totally Accurate Battle Simulator,2021,Landfall Games,XS,$20,Y,Strategy,7.5,Apr,,N,NA,7.5,Rebecca
My Friend Pedro: Ripe for Revenge,2021,Devolver Digital,iOS,$3,N,Action,1,Aug,,Y,78,7,Erika
Turnip Boy Commits Tax Evasion,2021,Graffiti Games,NS,$15,N,Adventure,2,Apr,,Y,74,6.5,Erika
Shin Megami Tensei V,2021,Sega,NS,$60,N,RPG,47.5,Nov,,N,85,8,Erika
The Dark Pictures Anthology: House of Ashes,2021,Bandai Namco,PS5,$30,N,Horror,5.5,Oct,,Y,72,7.5,Both
Voice of Cards: The Isle Dragon Roars,2021,Square Enix,PS4,$30,N,RPG,12.5,Nov,,Y,75,7.5,Erika
Golf Club Wasteland,2021,Untold Tales,PS4,$10,N,Sports,2,Sep,,Y,76,7,Erika
Persona 5 Strikers,2021,Sega,PS4,$60,N,Action,45.5,May,43,Y,83,7.4,Rebecca
Boyfriend Dungeon,2021,Kitfox Games,XS,$20,Y,RPG,5,Aug,5,Y,70,7,Both
Returnal,2021,Sony,PS5,$70,N,Rogue-like,20.5,Apr,,N,85,6,Erika
Outer Wilds: Echoes of the Eye,2021,Annapurna,XS,$20,N,Horror,10.5,Sep,,N,83,5,Both
SNKRX,2021,a327ex,iOS,$3,N,Rogue-like,7,Jun,,N,NA,6,Erika
Outriders,2021,Square Enix,XS,$60,Y,Third Person Shooter,35.5,Apr,,N,73,6.5,Erika
Cyber Shadow,2021,Yacht Club Games,XS,$20,Y,Action,8,Jan,,N,81,6,Erika
Olija,2021,Devolver Digital,PS4,$15,N,Action,5,Jan,,N,78,7,Erika
Toree 3D,2021,Diplodocus Games,Switch,$1,N,Platformer,1,Apr,,Y,67,6.5,Erika
The Good Life,2021,Playism,XS,$40,Y,Simulation,10,Oct,,N,62,4.5,Rebecca
The Big Con,2021,Skybound Games,XS,$15,N,Adventure,3.5,Aug,,N,74,5,Erika
Mundaun,2021,MWM Interactive,PS4,$20,N,Horror,7,Mar,,N,75,5,Erika
Destruction AllStars,2021,Sony,PS5,$20,N,Racing,3.5,Feb,,N,62,5,Erika
Paradise Lost,2021,All in! Games,PS4,$15,N,Adventure,3,Mar,,N,66,5,Erika
Say No! More,2021,Thunderful,PC (Twitch),$15,N,Comedy,2,Apr,,Y,67,5.5,Erika
Exo One,2021,Future Friends Games,XS,$17,Y,Experimental,2,Nov,,N,78,5.3,Erika
Twelve Minutes,2021,Annapurna,XS,$25,Y,Puzzle,4,Aug,,Y,74,2.5,Erika
The Ascent,2021,Curve Digital,XS,$30,Y,Twin Stick Shooter,12,Aug,,N,73,4,Erika
NieR Re[in]carnation,2021,Square Enix,iOS,$0,N,Gacha,7,Jul,,N,58,3,Erika
Rain on Your Parade,2021,Unbound Creations,XS,$15,Y,Puzzle,3,Apr,,N,78,3,Both
Nuts,2021,Noodlecake,Switch,$20,N,Adventure,3.5,Feb,,N,NA,5,Erika
The Medium,2021,Bloober Team,XS,$45,Y,Horror,8,Jan,,Y,71,2,Erika
Maquette,2021,Annapurna,PS5,$20,N,Puzzle,3.5,Mar,,N,70,3,Erika
I Saw Black Clouds,2021,Wales Interactive,PS4,$13,N,FMV,2,Mar,,Y,48,1.5,Erika
Mass Effect Legendary Edition,2021,Electronic Arts,PS4,$60,N,RPG,106,May,,Y,86,10,Erika